project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
lakeville,Feb2026,635,1700,1080000,matched,2b1b,2,1,2b1b (2b/1ba),635,0,exact_area,high,,sale_listing_snippet,https://www.99.co/singapore/sale/property/enc7omp6g4MdoByhypgdq5,"Direct 99.co sale listing snippet shows 2 Beds, 1 Bath, 635 sqft."
lakeville,Jan2026,1140,1858,2120000,ambiguous,,,,3b2b (3b/2ba) | 3b3b (3b/3ba),1141,1,nearest_1sqft,high,Conflicting bath/layout evidence exists for this area. Keep unresolved.,sale_listing_snippet,https://www.99.co/singapore/sale/property/lakeville-condo-BNbWQENTan92fN9bxfkYkF | https://www.99.co/singapore/sale/property/lakeville-condo-SdGaxqTDqzBFkhBzoiDVZZ,"Direct 99.co sale listing snippet shows 3 Beds, 2 Baths, 1141 sqft. | Direct 99.co sale listing snippet shows 3 Beds, 3 Baths, 1141 sqft."
lakeville,Dec2025,678,1577,1070000,matched,2b1b,2,1,2b1b (2b/1ba),678,0,exact_area,medium,,sale_listing_snippet,https://www.99.co/singapore/sale/property/summerdale-condo-Mc3FUbh37PHPJ7EZCGPYQz,"Cached 99.co aggregated listing snippet shows a Lakeville unit with 2 Beds, 1 Bath, 678 sqft."
lakeville,Dec2025,678,1502,1018888,matched,2b1b,2,1,2b1b (2b/1ba),678,0,exact_area,medium,,sale_listing_snippet,https://www.99.co/singapore/sale/property/summerdale-condo-Mc3FUbh37PHPJ7EZCGPYQz,"Cached 99.co aggregated listing snippet shows a Lakeville unit with 2 Beds, 1 Bath, 678 sqft."
lakeville,Dec2025,731,1721,1260000,matched,2b2b,2,2,2b2b (2b/2ba),732,1,nearest_1sqft,high,,sale_listing_snippet,https://www.99.co/singapore/sale/property/lakeville-condo-GfhL2qN9siYLyrNcK5nboF,"Direct 99.co sale listing snippet shows 2 Beds, 2 Baths, 732 sqft."
lakeville,Dec2025,1270,1991,2530000,matched,4b3b,4,3,4b3b (4b/3ba),1270,0,exact_area,high,,sale_listing_snippet,https://www.99.co/singapore/sale/property/lakeville-condo-JxXFNHF6rvEm6ceyzBprMG,"Direct 99.co sale listing snippet shows 4 Beds, 3 Baths, 1270 sqft."
lakeville,Dec2025,1302,1904,2480000,ambiguous,,,,4b2b (4b/2ba) | 4b3b (4b/3ba),1302,0,exact_area,high,Conflicting bath/layout evidence exists for this area. Keep unresolved.,sale_listing_snippet,https://www.99.co/singapore/sale/property/lakeville-condo-NDbfSjXgfP4eV6jo9VR6cZ | https://www.99.co/singapore/sale/property/lakeville-condo-cEY7xM2ETn6mDEfnBAg6Xa,"Direct 99.co sale listing snippet describes 1302 sqft as 4 Bedrooms and 2 Bathrooms. | Direct 99.co sale listing snippet shows 4 Beds, 3 Baths, 1302 sqft."
lakeville,Nov2025,1270,1873,2380000,matched,4b3b,4,3,4b3b (4b/3ba),1270,0,exact_area,high,,sale_listing_snippet,https://www.99.co/singapore/sale/property/lakeville-condo-JxXFNHF6rvEm6ceyzBprMG,"Direct 99.co sale listing snippet shows 4 Beds, 3 Baths, 1270 sqft."
lakeville,Nov2025,731,1707,1250000,matched,2b2b,2,2,2b2b (2b/2ba),732,1,nearest_1sqft,high,,sale_listing_snippet,https://www.99.co/singapore/sale/property/lakeville-condo-GfhL2qN9siYLyrNcK5nboF,"Direct 99.co sale listing snippet shows 2 Beds, 2 Baths, 732 sqft."
lakeville,Nov2025,807,1511,1220000,matched,2b2b,2,2,2b2b (2b/2ba),808,1,nearest_1sqft,high,,sale_listing_snippet,https://www.99.co/singapore/sale/property/lakeville-condo-jJCp8YQNdseZm46ZfmiyFT,Direct 99.co sale listing snippet describes 808 sqft as 2 Bed 2 Bath.
lakeville,Nov2025,1280,1951,2500000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakeville,Oct2025,1140,1838,2098000,ambiguous,,,,3b2b (3b/2ba) | 3b3b (3b/3ba),1141,1,nearest_1sqft,high,Conflicting bath/layout evidence exists for this area. Keep unresolved.,sale_listing_snippet,https://www.99.co/singapore/sale/property/lakeville-condo-BNbWQENTan92fN9bxfkYkF | https://www.99.co/singapore/sale/property/lakeville-condo-SdGaxqTDqzBFkhBzoiDVZZ,"Direct 99.co sale listing snippet shows 3 Beds, 2 Baths, 1141 sqft. | Direct 99.co sale listing snippet shows 3 Beds, 3 Baths, 1141 sqft."
lakeville,Oct2025,775,1767,1370000,matched,2b2b,2,2,2b2b (2b/2ba),775,0,exact_area,high,,sale_listing_snippet,https://www.99.co/singapore/sale/property/SuVf2eW4wsdA3SWrQNna2A,"Direct 99.co sale listing snippet shows 2 Beds, 2 Baths, 775 sqft."
lakeville,Sep2025,1280,2020,2588000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakeville,Sep2025,731,1776,1300000,matched,2b2b,2,2,2b2b (2b/2ba),732,1,nearest_1sqft,high,,sale_listing_snippet,https://www.99.co/singapore/sale/property/lakeville-condo-GfhL2qN9siYLyrNcK5nboF,"Direct 99.co sale listing snippet shows 2 Beds, 2 Baths, 732 sqft."
lakeville,Sep2025,764,1609,1230000,matched,2b2b,2,2,2b2b (2b/2ba),764,0,exact_area,medium,,sale_listing_snippet,https://www.99.co/singapore/sale/property/lakeville-condo-hqny2jwQ2s9g3zxZSN6PrY,"Cached 99.co listing snippet shows 2 Beds, 2 Baths, 764 sqft."
